date,open,high,low,close,volume
03-08-2015,16.9433,16.9954,16.6879,16.8109,62376780
04-08-2015,16.8298,16.9623,16.7541,16.8393,69741507
05-08-2015,16.9623,17.0711,16.8393,16.9055,65228627
06-08-2015,16.9433,17.0048,16.8109,16.8487,47594722
07-08-2015,16.9528,17.0947,16.6501,16.792,71020703
10-08-2015,16.9055,17.0758,16.896,17.0663,65791191
11-08-2015,16.8866,17.0001,16.7636,16.8298,65868585
12-08-2015,16.669,16.6926,16.1014,16.5744,143433552
13-08-2015,16.6122,16.7352,16.4987,16.669,67456183
14-08-2015,16.6217,16.7447,16.5933,16.7447,52710258
17-08-2015,16.6595,16.8487,16.6122,16.8109,42309963
18-08-2015,16.7636,16.9339,16.6974,16.7352,50360727
19-08-2015,16.6028,16.7352,16.4987,16.5176,78522838
20-08-2015,16.2622,16.2717,15.8176,15.8176,149185431
21-08-2015,15.3209,15.7608,15.231,15.231,148874303
24-08-2015,14.2093,15.1175,13.812,14.4648,214649482
25-08-2015,15.3256,15.3304,14.4269,14.4364,194376992
26-08-2015,14.9567,15.1932,14.5073,15.1932,174208534
27-08-2015,15.4959,15.5621,15.2216,15.5527,124185443
28-08-2015,15.5148,15.5527,15.3256,15.477,75899306
31-08-2015,15.4486,15.4912,15.3067,15.4581,66695185
01-09-2015,15.0891,15.1837,14.6256,14.7391,119064035
02-09-2015,15.0048,15.0523,14.7771,15.0428,74820399
03-09-2015,15.1567,15.3654,15.0618,15.1282,77175757
04-09-2015,14.9859,15.0523,14.7106,14.853,104539500
08-09-2015,15.1472,15.337,15.0903,15.337,73960238
09-09-2015,15.5363,15.6217,15.0238,15.0903,70466139
10-09-2015,15.0618,15.2896,15.0048,15.2231,71110193
11-09-2015,15.1757,15.2421,15.0903,15.2231,54287677
14-09-2015,15.1567,15.2516,15.0903,15.1472,50640946
15-09-2015,15.2231,15.5553,15.1947,15.4794,62327105
16-09-2015,15.5173,15.5553,15.2706,15.4984,83776419
17-09-2015,15.4604,15.6407,14.9764,15.0523,119088186
18-09-2015,14.8815,14.9099,14.7106,14.7676,136531198
21-09-2015,14.872,14.9479,14.7771,14.9004,79096205
22-09-2015,14.7011,14.7866,14.6632,14.7771,92235195
23-09-2015,14.8055,15.0428,14.7866,14.9194,78117507
24-09-2015,14.7438,14.8245,14.6157,14.7581,99520125
25-09-2015,15.0713,15.2041,15.0048,15.0808,88654983
28-09-2015,14.9859,15.0143,14.5967,14.6822,91324283
29-09-2015,14.7106,14.7391,14.4734,14.5683,79829410
30-09-2015,14.7581,14.8055,14.5398,14.7866,71347084
01-10-2015,14.7296,14.8435,14.5778,14.7581,71516846
02-10-2015,14.312,14.5967,13.8849,14.5967,181838369
05-10-2015,14.6632,14.9859,14.6537,14.8909,75315340
06-10-2015,14.8815,15.0143,14.7771,14.8909,67473718
07-10-2015,14.9764,15.1187,14.7771,14.9479,67019915
08-10-2015,14.9194,14.9764,14.7201,14.9479,79056883
09-10-2015,14.9479,15.0143,14.7106,14.7866,76667097
12-10-2015,14.8055,14.8245,14.6442,14.7296,50725777
13-10-2015,14.6632,14.796,14.6157,14.7296,73689847
14-10-2015,14.9669,15.1092,14.7581,14.8435,122272438
15-10-2015,15.0048,15.4509,14.9194,15.3655,127028772
16-10-2015,15.4556,15.4604,15.2136,15.299,66989537
19-10-2015,15.1852,15.3845,15.1662,15.318,62953541
20-10-2015,15.337,15.4604,15.2801,15.375,50797790
21-10-2015,15.4319,15.4604,15.0903,15.0903,64861330
22-10-2015,15.1852,15.375,15.1804,15.337,74116646
23-10-2015,15.4604,15.7072,15.4224,15.6787,82285833
26-10-2015,15.6787,15.7072,15.5078,15.6692,67702832
27-10-2015,15.5648,15.6312,15.4699,15.5648,56159251
28-10-2015,15.6122,16.4284,15.6075,16.4,147720142
29-10-2015,16.2861,16.5518,16.1058,16.2196,95542296
30-10-2015,16.3051,16.3051,15.9065,15.9254,87645788
02-11-2015,16.0393,16.2671,16.0109,16.1912,56948218
03-11-2015,16.1437,16.381,16.1247,16.3051,66127070
04-11-2015,16.419,16.4284,16.0963,16.1437,78728433
05-11-2015,16.1627,16.4854,16.1627,16.4284,85505498
